2026-03-12 23:20:30 | C:\Users\ayana\Downloads\Literary_budget.docx | Safe | None
2026-03-12 23:21:01 | C:\Users\ayana\Downloads\X5O!P%@AP[4PZX54(P^)7CC)7}$EICAR-ST.exe | Suspicious | Quarantined
2026-03-12 23:21:01 | C:\Users\ayana\Downloads\X5O!P%@AP[4PZX54(P^)7CC)7}$EICAR-ST.exe | Suspicious | Quarantined
2026-03-16 01:35:02 | C:\Users\ayana\Downloads\3bb8c754-56cd-407b-820c-c85d1a633092.tmp | Malware | Quarantined
2026-03-16 01:52:42 | C:\Users\ayana\Downloads\Experiment no. 6 AI.docx.rtf | Malware | Quarantined
Time: 2026-03-27 08:50:18 | File: CODE_ (1).pdf | Status: Malware | Action: Quarantined (99.94999694824219%)
Time: 2026-03-27 08:55:31 | File: CODE_ (1).pdf | Status: Malware | Action: Quarantined (99.94999694824219%)
Time: 2026-03-27 08:57:09 | File: Evolution-of-Mobile-Computing.pptx | Status: Malware | Action: Quarantined (99.94999694824219%)
Time: 2026-03-27 09:12:28 | File: CODE_ (1).pdf | Status: Malware | Action: Quarantined (99.94999694824219%)
Time: 2026-03-27 09:13:40 | File: kali-linux-2025.4-virtualbox-amd64.7z | Status: Malware | Action: Quarantined (99.94999694824219%)
Time: 2026-03-27 13:44:08 | File: CODE_.pdf | Status: Suspicious | Action: No action (72.05999755859375%)
Time: 2026-03-27 13:47:24 | File: safe.txt | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-03-27 13:47:26 | File: safe.txt | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-03-27 13:48:36 | File: safe.txt | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-03-27 13:48:39 | File: safe.txt | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-03-27 13:49:16 | File: 000a05c1d0ef03d9bb70fef29e91b395.png | Status: Suspicious | Action: No action (88.9000015258789%)
Time: 2026-03-27 14:09:10 | File: ai_exp4.pdf | Status: Suspicious | Action: No action (80.97000122070312%)
Time: 2026-03-27 14:21:58 | File: NICS.pptx | Status: Suspicious | Action: No action (87.30999755859375%)
Time: 2026-03-27 14:21:58 | File: NICS.pptx | Status: Suspicious | Action: No action (87.30999755859375%)
Time: 2026-03-27 14:21:58 | File: NICS.pptx | Status: Suspicious | Action: No action (87.30999755859375%)
Time: 2026-03-27 14:21:58 | File: NICS.pptx | Status: Suspicious | Action: No action (87.30999755859375%)
Time: 2026-03-27 14:46:10 | File: ai_exp4.pdf | Status: Suspicious | Action: No action (80.97000122070312%)
Time: 2026-03-27 14:46:32 | File: 00a560f18377259842e32bd1fefa55ea.png | Status: Suspicious | Action: No action (72.98999786376953%)
Time: 2026-04-19 20:19:34 | File: css_tut2_q1-q5.pdf | Status: Suspicious | Action: No action (78.54000091552734%)
Time: 2026-04-19 20:20:17 | File: 000beddf5e7f49a1718bfd5586e93665.png | Status: Malware | Action: Quarantined (90.80999755859375%)
Time: 2026-04-19 20:22:26 | File: Botium Toys_ Scope, goals, and risk assessment report (1).pdf | Status: Suspicious | Action: No action (85.8499984741211%)
Time: 2026-04-19 20:22:26 | File: Botium Toys_ Scope, goals, and risk assessment report (1).pdf | Status: Suspicious | Action: No action (85.8499984741211%)
Time: 2026-04-19 22:56:55 | File: archive.zip | Status: Suspicious | Action: No action (81.25%)
Time: 2026-04-20 08:56:59 | File: Botium Toys_ Scope, goals, and risk assessment report (1).pdf | Status: Suspicious | Action: No action (85.8499984741211%)
Time: 2026-04-20 08:57:11 | File: 00fb2178dc49bdeda9d4bce6193c5ae8.png | Status: Suspicious | Action: No action (81.30000305175781%)
Time: 2026-04-20 09:00:38 | File: eicar.com | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:00:40 | File: eicar.com | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:09:27 | File: archive (1).zip | Status: Suspicious | Action: No action (80.83999633789062%)
Time: 2026-04-20 09:17:19 | File: eicar.com | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:21:10 | File: eicar.exe | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:21:10 | File: eicar.exe | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:21:12 | File: eicar.exe | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:21:12 | File: eicar.exe | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:24:13 | File: eicar_com.zip | Status: Suspicious | Action: No action (88.61000061035156%)
Time: 2026-04-20 09:24:13 | File: eicar_com.zip | Status: Suspicious | Action: No action (88.61000061035156%)
Time: 2026-04-20 09:28:44 | File: eicar.zip | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:28:44 | File: eicar.zip | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:28:44 | File: eicar.zip | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:28:46 | File: eicar.zip | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:28:59 | File: css_tut2_q1-q5.pdf | Status: Suspicious | Action: No action (78.54000091552734%)
Time: 2026-04-20 09:33:11 | File: eicar.zip | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:33:20 | File: dec22_iot.pdf | Status: Malware | Action: Quarantined (82.55000305175781%)
Time: 2026-04-20 09:38:36 | File: advanced-wildfire-administration.pdf | Status: Malware | Action: Quarantined (80.98999786376953%)
Time: 2026-04-20 09:40:05 | File: Controls and compliance checklist.pdf | Status: Suspicious | Action: No action (73.72000122070312%)
Time: 2026-04-20 09:41:51 | File: Untitled document.pdf | Status: Malware | Action: Quarantined (86.2300033569336%)
Time: 2026-04-20 09:41:51 | File: Untitled document.pdf | Status: Malware | Action: Quarantined (86.2300033569336%)
Time: 2026-04-20 09:41:51 | File: Untitled document.pdf | Status: Malware | Action: Quarantined (86.2300033569336%)
Time: 2026-04-20 09:42:16 | File: Botium Toys_ Scope, goals, and risk assessment report (1).pdf | Status: Malware | Action: Quarantined (85.8499984741211%)
Time: 2026-04-20 09:58:45 | File: Controls and compliance checklist.pdf | Status: Suspicious | Action: No action (73.72000122070312%)
Time: 2026-04-20 09:58:57 | File: eicar.zip | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 09:59:27 | File: advanced-wildfire-administration.pdf | Status: Malware | Action: Quarantined (80.98999786376953%)
Time: 2026-04-20 10:00:14 | File: Untitled document.pdf | Status: Malware | Action: Quarantined (86.2300033569336%)
Time: 2026-04-20 10:06:27 | File: Controls and compliance checklist.pdf | Status: Suspicious | Action: No action (73.72000122070312%)
Time: 2026-04-20 10:06:47 | File: advanced-wildfire-administration.pdf | Status: Malware | Action: Quarantined (80.98999786376953%)
Time: 2026-04-20 10:06:47 | File: advanced-wildfire-administration.pdf | Status: Malware | Action: Quarantined (80.98999786376953%)
Time: 2026-04-20 10:07:31 | File: IP IAT 2.pdf | Status: Malware | Action: Quarantined (81.55000305175781%)
Time: 2026-04-20 10:08:49 | File: 00fb2178dc49bdeda9d4bce6193c5ae8.png | Status: Malware | Action: Quarantined (81.30000305175781%)
Time: 2026-04-20 10:09:22 | File: pythonw.exe | Status: Malware | Action: Quarantined (97.91999816894531%)
Time: 2026-04-20 10:09:38 | File: outline.txt | Status: Safe | Action: No action (48.689998626708984%)
Time: 2026-04-20 10:13:23 | File: eicar_com.zip | Status: Malware | Action: Quarantined (88.61000061035156%)
Time: 2026-04-20 10:13:23 | File: eicar_com.zip | Status: Malware | Action: Quarantined (88.61000061035156%)
Time: 2026-04-20 10:14:18 | File: images.webp | Status: Malware | Action: Quarantined (88.33000183105469%)
Time: 2026-04-20 10:14:18 | File: images.webp | Status: Malware | Action: Quarantined (88.33000183105469%)
Time: 2026-04-20 11:53:12 | File: Submission sheet_Student copy.pdf | Status: Suspicious | Action: No action (79.51000213623047%)
Time: 2026-04-20 11:59:12 | File: eicar_com.zip | Status: Malware | Action: Quarantined (88.61000061035156%)
Time: 2026-04-20 12:02:29 | File: Screenshot 2026-04-20 085353.png | Status: Malware | Action: Quarantined (89.0199966430664%)
Time: 2026-04-20 12:02:52 | File: IoT Mini Project Pranjal.ppt.pptx | Status: Malware | Action: Quarantined (80.8499984741211%)
Time: 2026-04-20 12:08:42 | File: malware.txt | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 12:08:44 | File: malware.txt | Status: Safe | Action: No action (48.529998779296875%)
Time: 2026-04-20 12:09:59 | File: outline.txt | Status: Safe | Action: No action (48.689998626708984%)
Time: 2026-04-20 12:10:22 | File: Cyber Knights.pptx | Status: Malware | Action: Quarantined (81.8499984741211%)
Time: 2026-04-20 12:10:38 | File: 6.15-T.E.-Comp-engg-Sem.-V-VI1.pdf | Status: Suspicious | Action: No action (61.400001525878906%)
Time: 2026-04-20 12:11:00 | File: 000a05c1d0ef03d9bb70fef29e91b395.png | Status: Malware | Action: Quarantined (88.9000015258789%)
Time: 2026-04-20 12:11:20 | File: 3d32c883_pyviz.962ed.png | Status: Suspicious | Action: No action (75.61000061035156%)
